Gender,Starting_Weight_KG,End_Weight_KG,Duration_in_weeks,Training_hours_per_week,Intensity
Female,66.9397123143008,64.7267531114089,20,4,Medium
Male,109.11552633478045,100.63192276970705,13,11,High
Female,98.2477366423324,90.0561486469196,14,10,High
Female,108.71631370146116,102.65090682441983,20,11,Low
Female,88.76307296335128,87.47317114206054,16,2,Medium
Female,114.89178527000297,110.11578886277654,12,8,Medium
Female,62.96093680730638,62.43288615809373,10,2,Medium
Female,77.57331390162088,74.071367412892,10,11,Medium
Male,108.60210389860669,106.41816958563868,15,3,Medium
Female,85.08655270488005,83.49511898647107,14,5,Low
Female,70.37708125626938,69.14052688120536,10,7,Low
Male,84.28842981714185,83.17614962510724,17,3,Low
Male,112.69356445846486,109.15236228041299,18,4,Medium
Female,88.38857870793865,87.86934407287792,11,2,Low
Male,115.2913468767643,109.04334355557556,19,7,Medium
Male,109.33156537266905,107.22659228408139,9,8,Low
Female,84.58357233784461,78.85849214599051,10,11,High
Female,82.41066084934101,79.7280897014945,18,3,High
Male,100.62553386605006,97.65826865006878,16,4,Medium
Female,113.34359719138371,108.97533344565838,18,8,Low
Male,109.49114318856672,101.38033968862327,17,8,High
Male,80.20611857076094,77.81772024726413,8,9,Medium
Female,101.64947108214753,99.39239980479628,18,2,High
Male,116.78029627623283,113.19911051961023,8,7,High
Male,108.41823038017966,102.80960890120491,19,6,Medium
Male,87.08023126269984,80.77976390374874,13,9,High
Female,89.01108764564752,82.90015672517396,19,6,High
Female,68.41896107540516,64.17992284793112,18,8,Medium
Male,94.35981113358528,89.19717603484808,15,8,Medium
Female,116.22702251643106,110.92497637061895,11,10,Medium
Male,116.93221230234833,112.30070135903776,8,8,High
Male,91.31347408704332,90.45237771032127,17,2,Low
Male,93.58524176664797,92.47237768723775,7,4,Medium
Male,104.00851472525176,103.44654737968247,10,2,Low
Male,118.5278918104152,117.891753411428,10,2,Low
Female,68.86808004392343,66.13840320397082,7,10,High
Male,90.27666574746677,86.95162070423285,14,6,Medium
Female,112.41340963744628,110.39061729484906,15,2,High
Male,99.67568926833378,97.60397136778734,17,3,Medium
Female,113.9376655336219,112.13561957969665,18,2,Medium
Female,71.13107385139058,69.60762896109735,8,10,Low
Female,91.96011524828164,88.02755312745509,11,7,High
Female,79.57617795896235,78.40734836510188,14,4,Low
Female,78.99255359354856,75.39102596221159,8,10,High
Male,97.87507855784796,97.1055383687615,15,2,Low
Female,85.98464694607611,83.49781646010216,10,7,Medium
Female,81.44081278067726,74.31695690200513,17,12,Medium
Female,114.89824621893712,113.32623830223515,15,2,Medium
Female,103.90465112597357,96.8404210203168,12,10,High
Male,109.1018796532612,106.69412980186615,7,7,Medium
Female,77.39480697551733,71.89912503502669,16,8,High
Female,94.66256545901042,92.12036194985967,8,12,Low
Male,111.16717733207336,105.12525471936978,18,12,Low
Male,111.82361474172852,107.64255954585039,12,12,Low
Female,80.67182764525873,77.51780792802573,8,11,Medium
Male,110.83491026274592,108.43062107076972,6,6,High
Male,109.43575587230931,104.05665951652982,20,6,Medium
Male,85.66025942487602,82.90770051154183,18,4,Medium
Male,114.63781874265909,109.54685774191407,17,6,Medium
Female,86.47928821082465,85.87516458011858,6,2,High
Female,89.18462693331993,82.66061513895934,12,10,High
Male,97.9347671559199,96.09627355720947,15,3,Medium
Male,102.7138400591003,97.67739218793491,12,9,Medium
Female,97.27015484202329,91.13869196654763,19,6,High
Male,99.92718263051773,98.8996463111395,8,3,Medium
Female,112.00731259554573,110.85772329304281,9,2,High
Female,97.66408537171706,92.71909157676473,18,11,Low
Female,84.08567695833119,82.80068707872553,8,7,Low
Female,85.00150541452265,84.38162996013769,6,3,Medium
Male,112.43354460515806,102.81100920627198,15,10,High
Male,93.9276777098608,91.8663492498084,12,3,High
Male,88.45819183129655,86.2647287298697,7,8,Medium
Female,63.562991280347354,62.687385592037266,16,2,Medium
Male,115.04107391682297,113.74077480832655,10,2,High
Female,115.112787071421,113.83286126576986,10,4,Low
Female,67.20721092980855,64.403877575536,8,12,Medium
Female,80.0684244897669,78.9920932479677,11,2,High
Male,87.01488278060975,82.64798748890735,20,9,Low
Female,66.95390812955279,65.17153538012691,16,4,Medium
Male,115.99466972000121,113.79738497287467,8,9,Low
Male,82.27509036581422,79.33543055637699,19,7,Low
Female,118.82913980814041,115.87401931510807,9,6,Medium
Male,83.85803442789536,83.0333782342076,8,2,High
Female,111.80823895161515,106.74198053280563,9,9,High
Female,93.99036641934975,85.1287568083144,14,11,High
Male,94.71669951271494,90.81250566652541,16,10,Low
Male,93.69369506500631,93.11087572616377,8,3,Low
Female,105.44184859426252,104.03712370783131,10,5,Low
Male,92.5829318001715,90.47177053770478,13,4,Medium
Female,99.4391349970285,96.83959530108824,16,4,Medium
Male,100.6930433406432,94.67115966394888,19,7,Medium
Female,89.09793870948423,87.25856922505604,9,9,Low
Male,116.04648682596647,113.1523036497469,20,3,Medium
Female,93.27870351721558,88.05755536861706,19,7,Medium
Male,113.0744641219478,111.79186484133788,9,5,Low
Female,103.53441204608936,98.97213386814809,16,11,Low
Male,81.54228984235993,80.22192874175502,9,7,Low
Male,110.92440210021677,104.5266998264464,12,8,High
Male,88.67481000364162,87.18538924554278,8,5,Medium
Female,114.18897881109429,109.80718849792282,11,8,Medium
Male,81.71696762435329,78.82280222108598,14,9,Low
Female,79.98432206845912,78.12776672298882,13,7,Low
Male,83.98931788939016,77.22586786897782,17,8,High
Female,88.53534702509063,84.66113382144795,9,12,Medium
Male,112.80089743479007,109.93870578298993,9,11,Low
Male,91.92749438652257,84.60812395338506,13,11,High
Male,86.03739589244167,81.81613385141117,17,7,Medium
Male,93.21068142787597,91.39703080229265,8,9,Low
Male,112.55520567682544,109.68320943840735,8,7,Medium
Female,68.42303746796081,64.70622148497363,20,5,High
Male,89.09449796310007,86.495278922285,6,12,Medium
Male,82.75407857973495,75.24620567036955,13,12,High
Female,102.34260263937645,97.31751258495594,16,12,Low
Male,95.80932974145347,90.52277381561396,19,5,High
Male,92.43359908573264,90.05220079835175,17,6,Low
Male,108.74505561364607,107.97920276301673,6,2,High
Female,80.15865254041532,78.68121249153039,15,3,Medium
Male,109.11085092857672,107.39770612167602,11,5,Low
Male,112.60797581257253,105.2800920216826,10,11,High
Female,73.0597706074643,70.89295547660032,14,5,Medium
Male,118.95274787383934,116.0205918987999,12,5,Medium
Female,69.74147687476001,65.46864987936908,10,10,High
Male,91.6336362662697,83.10699698033115,17,12,Medium
Male,87.19181163334167,85.62282596752657,7,10,Low
Female,80.73033938138006,78.66441558302171,12,5,Medium
Female,88.80365326924533,81.57103409447649,18,10,Medium
Male,100.88703476008476,93.79679294378732,11,11,High
Male,114.14424169185088,111.4799271794456,14,6,Low
Male,115.57791635263466,113.50570054965516,16,2,High
Female,73.20623164685438,70.28090740584932,13,12,Low
Female,97.37364193114514,93.39128916652798,19,8,Low
Male,84.45984229194862,81.03919897428095,10,10,Medium
Male,98.35879440728273,95.69831032827959,8,8,Medium
Male,92.89334152186473,89.17704790099593,18,5,Medium
Male,92.66002981814425,85.46602066849887,17,10,Medium
Male,99.30336966848404,97.51043454929385,8,4,High
Female,103.78965813175606,94.88138960427311,15,10,High
Male,82.76730635169558,78.47991317538167,19,10,Low
Female,112.75040026124427,109.92934691808563,6,10,Medium
Male,109.39255098522244,108.52135632687308,7,4,Low
Male,87.0599755555624,80.99285157083611,18,7,High
Male,117.56643636349482,111.23510598671737,10,12,Medium
Female,90.37873344140331,85.40253081933736,15,8,Medium
Female,119.98851468701793,116.55409036574311,10,7,Medium
Female,71.83556845804426,68.14974115137969,9,10,High
Male,101.39632793532806,100.1996273842964,6,7,Low
Male,91.60992170239714,87.34661489787345,11,10,Medium
Female,78.2504134433548,76.07385320079291,17,4,Medium
Female,95.46392285003941,94.65762659301541,16,2,Low
Female,115.30314401224999,113.635388105812,14,4,Low
Female,108.3158313347505,103.70183356756857,14,12,Low
Male,108.95765594005303,107.3586596856215,18,2,Medium
Male,102.36695128406808,98.85197816632744,19,4,Medium
Male,116.8919401466979,109.93602101599082,13,11,Medium
Female,89.54168440145304,89.17669120006765,8,2,Low
Female,112.42993070008309,107.43071584186768,11,10,Medium
Male,113.35926575506528,108.53873061567938,7,11,High
Female,72.83012080809519,72.15713399050705,11,2,Medium
Male,110.84901851863641,109.38472750964125,8,6,Low
Male,80.48684627773035,78.47886100636975,7,6,High
Female,79.36977225288526,77.4320319160549,19,5,Low
Male,89.182697787678,84.02023418244372,19,7,Medium
Female,90.4117775092388,88.81109146918425,8,4,High
Female,104.21118970084713,93.40799339181888,20,12,Medium
Female,65.86058204686344,64.2093495886905,16,6,Low
Female,90.8953321162061,89.42055177754271,20,2,Medium
Male,117.53648086777542,112.01458826577378,15,7,Medium
Male,89.14586203931782,85.91363874898536,12,11,Low
Male,107.08564576445696,103.66119178350482,17,7,Low
Female,95.57281624686945,90.93833517556412,13,9,Medium
Female,60.6038217393656,58.09038151421376,18,9,Low
Female,88.54957175143336,86.46636986592853,19,3,Medium
Male,108.35081563764194,106.44220708706845,10,4,Medium
Female,62.638525921445435,58.03326360045314,12,10,High
Female,112.77128898142381,104.5245175819902,18,9,Medium
Female,91.20488499814039,88.32564003624975,7,10,Medium
Female,61.83966289954307,61.307078959433916,11,3,Low
Male,88.97654447683361,85.65335609363093,13,5,High
Male,118.14702785709252,115.00305073204058,11,4,High
Female,94.93918398312331,89.4052846091809,10,10,High
Female,66.44835406612827,61.5648619625554,19,9,Medium
Male,91.50178009122246,88.58952535145005,19,3,High
Male,98.26814503441938,88.81240540459424,14,12,High
Male,80.83800277070922,78.90749255658469,8,11,Low
Female,84.69693081682553,82.13729214022932,15,8,Low
Female,89.36751812608189,83.83235405840357,12,12,Medium
Male,89.74711501124929,88.2735436958431,20,2,Medium
Female,95.31834001751919,92.42497678343555,7,10,Medium
Female,105.19440717553061,102.67260705777656,14,6,Low
Female,74.15005344633813,68.72785008316292,16,8,High
Female,97.22999401679925,91.60147965539139,13,8,High
Female,98.3773345778245,95.20982617094069,18,3,High
Male,117.94161204515365,112.42648924904681,15,12,Low
Male,111.13104669185775,108.62702270875465,7,12,Low
Male,113.93381079160024,111.32843426817209,7,12,Low
Female,89.42519450617651,88.53767134518911,7,5,Low
Male,87.41394347917532,85.86559061774514,15,2,High
Female,119.7489175775781,111.95663294721324,13,9,High
Male,85.17423044154799,84.18993615020864,15,3,Low
Female,88.28743916125592,85.4476233830478,14,9,Low
Female,64.0855859545264,62.479646769401896,15,3,High
Male,117.75403429403278,114.67170876294904,9,7,Medium
Male,118.59699763393758,113.1252020156022,16,7,Medium
Male,108.77556248015894,105.21089436463242,16,8,Low
Female,80.99957061781014,77.15943473634165,19,9,Low
Male,90.17529604470498,82.6995961170035,18,11,Medium
Male,90.61213298148189,88.36624329529249,11,9,Low
Female,67.63764152520449,65.49930134092021,7,10,Medium
Female,91.54853718460338,80.80609832226892,19,11,High
Female,68.50903654208865,66.9316332032255,7,6,High
Female,79.00383999320738,78.13567706192867,6,7,Low
Male,105.0682590383642,97.21762754209877,17,10,Medium
Female,103.652616575445,100.83966299351013,13,8,Low
Male,80.97090818488245,78.51719861266652,12,10,Low
Male,97.2046393750696,94.22544125498865,8,7,High
Male,106.08498379368555,97.38109701881265,20,10,Medium
Male,114.12983904634052,104.38204174004163,20,10,Medium
Female,88.51948693272494,86.27264189123262,16,6,Low
Female,118.15235230306112,112.73699689965417,12,7,High
Female,75.93795285248683,74.65869901413566,10,4,Medium
Male,80.54034826506876,79.7628833450334,7,3,Medium
Female,89.02517188210417,87.26175209516687,6,12,Low
Male,90.24455180080072,87.38083314311316,18,3,High
Male,112.94870688092678,108.56716577701332,10,9,Medium
Female,73.96636033086672,69.12825015500769,10,11,High
Female,78.63775309747838,76.08458573066689,13,9,Low
Female,107.47364586114674,107.13878861233874,6,2,Low
Female,102.9085951215216,100.68516753969108,6,8,Medium
Female,93.48307419943575,89.76153134119701,13,5,High
Female,102.29688371536557,99.62392799432254,15,4,Medium
Male,96.74547454280106,93.8675336857049,6,12,Medium
Male,80.21240190458671,77.7883149527507,18,3,High
Female,60.68130771073155,60.07694260400584,12,3,Low
Female,90.67330725442119,88.50570117714399,20,2,High
Female,64.99745878313996,60.22625171344343,15,9,High
Female,63.06452881015541,59.900112307227104,10,11,Medium
Female,117.93099834824841,114.32881773561377,12,9,Low
Female,111.54015837948351,105.30462045814588,18,11,Low
Female,69.12163363257417,68.14703026336316,16,2,Medium
Female,60.03985311541227,58.4177609187274,13,5,Medium
Female,116.50006772338538,112.59841059500916,12,11,Low
Female,76.69951789920685,73.7041000142371,12,8,Medium
Male,87.4359041142199,83.66600293115651,12,6,High
Male,107.66032431326141,103.89980804053467,6,10,High
Male,84.35614955365305,82.85950296368732,13,3,Medium
Male,90.58598392011201,83.71341029654539,11,12,High
Female,118.50568081272279,115.8858348189529,8,6,Medium
Female,98.3677664684406,96.88938192619011,8,7,Low
Female,91.24066748895322,87.03468901279139,19,6,Medium
Male,95.91674459339751,92.6896200957986,10,12,Low
Female,106.47005729305212,102.65820889910444,20,4,Medium
Female,68.45744859142162,61.53653097172071,19,12,Medium
Female,118.04026812221893,113.34830025992918,6,12,High
Female,111.6673804839472,106.7500486096453,10,8,High
Female,97.0594189541546,93.61090775640166,13,5,High
Female,62.57437142415349,58.86261926195142,9,11,High
Female,102.05133896686426,98.8701440258003,18,4,Medium
Male,116.53137363541924,111.59519636854803,18,4,High
Male,100.98308269914504,97.97998954152942,14,5,Medium
Male,94.16899287309052,93.16937086277615,12,2,Medium
Male,84.81109379917879,84.29059370947982,12,2,Low
Female,105.2940662482541,99.10534559236869,18,8,Medium
Female,113.10131107270837,108.99760757574742,11,6,High
Male,84.01006976303394,81.92600622656111,18,5,Low
Female,105.53907328514052,105.08738880457051,8,2,Low
Male,80.6824194503639,79.86812957125223,19,2,Low
Male,118.68219672308878,112.9157072708957,12,10,Medium
Female,96.90348123810577,90.11365055821763,12,10,High
Male,102.09756235966532,98.59926975509916,11,11,Low
Female,77.75699001533567,75.39333358239026,18,4,Medium
Male,117.17166686279134,115.27437303202265,6,6,Medium
Female,75.95433764020746,73.97233688600826,8,12,Low
Male,113.12586452866779,105.67597360769894,19,6,High
Male,119.40434717348528,115.6783257090187,7,11,Medium
Male,111.33586582059223,106.85285871188127,12,12,Low
Male,100.75959681545727,92.89157116964631,19,10,Medium
Female,63.96445583110032,58.42337184955686,20,7,High
Female,88.34482735026438,84.53409100085258,7,10,High
Female,86.29535681830221,84.29103810603202,10,4,High
Male,88.1118416474798,84.87760072053138,8,8,High
Female,85.41525820285827,80.20085814240106,17,8,Medium
Male,94.31031536321355,92.14409153751528,19,2,High
Female,69.82105566909891,68.30005918292917,7,12,Low
Male,97.65496573329945,89.9948727849975,11,12,High
Male,90.51199825297957,89.28840118867977,8,3,High
Male,100.88249682729057,97.30928814646843,19,7,Low
Male,81.40640238864776,79.72671136194096,7,5,High
Female,114.37388518723705,110.49639415453093,11,5,High
Female,108.98185833119136,107.66825303752613,8,6,Low
Female,93.15487995063027,85.26081196576844,12,12,High
Male,114.07234331028972,111.52048855672416,18,3,Medium
Female,117.74370442864803,115.25783916329081,12,4,Medium
Male,84.42089176210642,79.9642708817568,16,6,High
Male,105.23327233639215,101.39185063215231,8,10,Medium
Female,119.87964005613952,119.28634838889013,6,3,Low
Female,119.27335016001157,116.71631664342381,10,5,Medium
Female,96.19937953744468,94.99203796302147,11,2,High
Male,85.12083481803266,79.46206677730041,13,9,High
Female,94.99156985943169,89.96859106977821,9,10,High
Female,60.1238781344653,58.48069591938915,12,4,High
Male,87.95645338667438,87.21773413581732,11,3,Low
Female,117.36738957359759,111.64456341883552,11,8,High
Male,93.21762290411375,89.35770396261914,15,10,Low
Female,98.30340634661691,96.51469011898492,16,4,Low
Female,76.85156967793456,72.42572235274244,8,12,High
Male,117.91287548446358,109.15389787201467,18,10,Medium
Male,109.14234919797947,108.31460258243976,6,3,Medium
Female,79.77906945488476,76.20165941267672,11,9,Medium
Female,107.50568527082226,102.48758108124478,7,11,High
Male,84.3266209790535,80.28139350517955,9,12,Medium
Female,83.53913640392756,81.49495985468178,16,6,Low
Female,73.27308766389554,71.16360917652274,6,11,Medium
Female,101.02358683656277,98.8742431144735,13,6,Low
Female,66.14677690631582,63.66530235109549,7,12,Medium
Female,83.82154993696045,82.5094901240358,15,4,Low
Female,76.59898381255138,74.92379297814638,9,6,Medium
Male,100.25371677295217,92.85048929937712,18,9,Medium
Male,93.99590722015516,92.49101585170384,12,5,Low
Female,102.38463466002065,99.62525983612407,11,6,Medium
Male,80.98308097227864,77.09954547656882,12,9,Medium
Female,98.03921527835445,96.74596969461638,15,2,Medium
Male,89.2228515877528,85.4996533779418,12,6,High
Male,90.74836115027398,88.43004766722382,7,6,High
Female,108.01533621501142,99.52875618770528,19,10,Medium
Female,117.33410363882524,106.6826980614414,17,12,Medium
Female,78.9930126016252,74.18150096207113,11,9,High
Female,109.60831622214454,105.02764043626952,16,10,Low
Female,66.23945027827399,64.25638353779202,10,7,Medium
Male,105.35926612029533,98.67054739829621,13,12,Medium
Female,105.06193797209514,102.46743771466313,12,8,Low
Female,69.3586756820674,68.64821454697281,9,4,Low
Female,85.56014326017363,83.74026563034396,8,10,Low
Male,115.70828656995926,111.43707608139295,9,10,Medium
Male,84.14313853793489,81.26289048197184,12,10,Low
Female,61.08578149208851,60.72089710661031,11,2,Low
Female,95.43512274287602,94.05937692908923,13,2,High
Male,97.42126162123733,95.88772386833308,19,3,Low
Female,107.92135493303417,106.2327342671397,17,2,Medium
Female,115.4073322922464,110.7905027975857,13,7,Medium
Female,77.94921867262897,72.17432383564676,12,10,High
Male,95.53616468676421,93.19932336183615,12,5,Medium
Male,99.4508834531726,98.55178567289916,11,2,Medium
Male,103.52605841741197,97.3469854552685,17,6,High
Female,119.03122978089701,117.22977786934587,14,4,Low
Male,107.89321003320205,106.9999035630456,11,3,Low
Male,95.58194029382275,91.50465571358502,9,11,Medium
Male,90.55070745801848,83.67613982869042,13,10,High
Male,117.78502873688495,111.12553563242385,19,11,Low
Male,85.42193732434026,83.61378436373596,8,6,Medium
Male,108.81063410019033,104.18285302432295,13,12,Low
Female,115.52370151754644,114.32184520397438,8,3,Medium
Female,99.87993519206631,96.85159105172893,15,8,Low
Female,85.38326640996726,84.0813578351233,20,3,Low
Male,87.95963759701937,86.35077699824691,11,4,Medium
Male,94.69901289007709,93.96831141192963,6,5,Low
Female,102.41230856520733,101.70004996460942,8,2,Medium
Female,98.97205345051782,94.21047586996639,14,6,High
Female,115.67856999590148,114.24157491279796,7,7,Low
Male,114.674436546375,103.26117540339213,14,12,High
Female,108.9690451359821,107.06760811134475,8,5,Medium
Male,116.45803501403049,110.68152541039764,18,10,Low
Female,76.58022916422297,72.66302672402898,20,9,Low
Male,94.78094160558598,90.99469336673023,14,10,Low
Female,82.79363422716105,76.26712897671302,12,11,High
Female,93.6270353225868,88.24538463107757,19,12,Low
Female,100.09309377256626,96.26278510541671,14,10,Low
Male,91.46866732161577,83.38652184388164,18,12,Medium
Female,61.167748038558024,60.54841592454698,9,4,Low
Male,95.96889534631637,92.81457763334005,18,7,Low
Male,92.34111838217602,87.68971264838619,17,5,High
Female,116.53108314108287,109.60573489130739,12,9,High
Male,115.53060162176175,113.12685811873573,10,8,Low
Female,111.61864070060517,109.63790843356489,6,5,High
Male,106.11999043780972,102.7434694884049,17,7,Low
Male,93.77156658795755,91.59186252045465,12,7,Low
Female,92.93095604395828,91.02551802131828,12,6,Low
Male,112.60900162865491,111.17300329943168,9,5,Low
Male,83.94441474891244,83.08388439474199,10,4,Low
Male,112.04299521021218,109.40236819294212,14,3,High
Male,81.64719165312486,77.11041061935515,12,11,Medium
Male,112.65684124857424,111.28875262461503,6,8,Low
Male,112.30255216639495,110.07049795945927,6,12,Low
Male,82.04029235315024,81.61903569607796,9,2,Low
Male,105.08642845847433,104.18266316842588,17,2,Low
Male,100.09812297251588,95.30809471589285,11,8,High
Female,70.18917019030289,68.3266043926552,19,5,Low
Male,85.93515750709503,80.75942765935399,13,11,Medium
Female,106.3955475640214,98.176219314751,17,10,Medium
Female,94.06156493021064,93.26084210052377,6,5,Low
Male,119.3199653966613,116.88661909333983,15,5,Low
Female,118.93486663730064,112.89884278535564,15,12,Low
Female,119.56001960785598,109.79404902560903,20,9,Medium
Female,67.11693110194595,59.84329829903036,17,11,High
Male,117.5302454785585,110.61588872865343,17,6,High
Male,89.78278436082252,82.39952722268295,14,10,High
Female,87.49273558551673,85.72467507526798,6,8,Medium
Female,105.44439334930355,103.05853928248834,7,8,Medium
Female,72.21725592463392,66.81784710950693,15,9,High
Female,93.97869633325979,93.00939529148691,10,4,Low
Male,87.43266992903983,84.12837941939216,20,7,Low
Female,66.2841664008776,64.87030421668076,6,6,High
Male,84.66234449718394,80.00025336406662,8,12,High
Female,81.45834209089313,77.14212930399381,10,12,Medium
Male,80.18619347348734,79.17568197284916,14,2,Medium
Male,96.99415684806758,94.76646312948012,8,7,Medium
Male,106.56788420324597,92.26854926350481,20,11,High
Male,96.06752740015955,92.72321206834609,8,8,High
Female,65.1476760311901,62.70423741035957,17,8,Low
Female,63.76133172141843,60.304224208396846,13,10,Medium
Female,76.68699076589171,73.5560451153761,12,12,Low
Female,70.15876143261605,69.02475047297713,9,7,Low
Female,117.90569839307817,115.89565467210741,16,4,Low
Male,86.0492089989634,84.65514572570441,8,5,Medium
Female,108.32774624429979,101.54608611300053,12,9,High
Male,103.44431766964578,98.2510374665964,11,11,Medium
Female,94.15721519905766,92.05666022956403,10,5,Medium
Male,100.48322863695138,95.54093748845278,16,7,Medium
Female,118.30578456683706,115.0215680862664,9,12,Low
Male,94.55379100366551,93.32752222047495,17,3,Low
Female,107.27494505723257,106.45897126692373,9,3,Low
Female,93.31764644801757,91.73683453339686,15,2,High
Male,95.82534670502905,90.19328328580298,18,6,High
Male,118.21863733223124,108.97982928151467,13,11,High
Male,103.93263877458749,96.57752008096766,10,12,High
Female,67.13501652876081,63.57315605125814,10,12,Medium
Female,85.0523520598114,83.73970324883285,11,5,Low
Female,106.89490366089646,104.88546615912776,15,5,Low
Male,107.74988092956855,105.06447141689085,10,6,Medium
Male,116.65361319346297,112.50702701637508,7,12,Medium
Female,75.56264304849121,74.85865683396482,7,5,Low
Male,110.32774865415296,105.34795765394296,16,11,Low
Male,98.39500829578084,93.31284393557951,13,7,High
Female,94.41658481800893,86.20200315893469,15,10,High
Male,118.20186724025132,117.2792398351536,6,3,Medium
Male,119.17145279956709,116.84338384313162,6,12,Low
Male,114.46363855702253,108.45429295103386,19,11,Low
Female,81.54582526381778,79.08481068470842,11,5,High
Male,115.50803342909279,113.04556080533754,18,2,High
Female,98.31655065848477,95.4190789173554,13,8,Low
Male,97.19987121882852,95.62180549728279,6,6,Medium
Female,62.144560950029025,58.62707506053357,11,9,High
Male,110.80512496766329,106.43979179354612,19,8,Low
Female,90.12633484344678,88.05504484599113,8,7,Medium
Female,107.17130996790365,105.86927415490837,6,8,Low
Male,109.9209119737308,109.08890189982591,15,2,Low
Male,111.74269472193407,108.46182388443736,13,9,Low
Female,78.03906952180601,72.50321329096298,19,9,Medium
Male,112.03194396270524,110.48919624906475,11,3,Medium
Female,92.93077970797003,92.6266322869653,6,2,Low
Male,98.93304801796573,92.93784660625224,20,12,Low
Female,100.50755482924541,98.87164728744477,9,4,Medium
Male,80.85434731753394,78.96635939175887,11,8,Low
